song,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06
Shape of You - Ed Sheeran,0,51095759,51021927,51124648,52796064,53551099,53604545,53050188,51475833,64275251,57006531,51372566,48548944,44933266,42773326,38430515,37276333,35670821,34711265,33218249,31111347,27528001,26518694,24943522,24376850,23613615,22479630,21588279,20826514,19742646,19118483,18479947,17960613,17124264,16063016,16005604,15800992,15091892,14839426,14621765,14450730,13989713,13619554,13806367,13699829,13485537,14433120,15593544,15209053,14822548,17570858,14968406,14554752,14477947,14105776,13104564,12398441,12124920,11604881,11209976,10953328,10612132,10718284,10121069,9996396,10182162,9496135,9072439,9085825,9077750,9273000,9174631,8694120,8289610,8418622,8399286,8901222,8711223,9320187,9116950,9053713,8658283,8662005,8365631,8285438,8077050,8078738,7910284,7700153,7656712,7638622,7675823,7543043,7416704,7317040,7244371,7292625,7140126,7183279,7457765,7147798,7002549,8119134,7367186,7440049,7372309,7137479,7041616,7136267,7288741,7193233,7030820,6992931,7007904,7020463,6929341,6894582,7167638,7024942,6941231,6858828,7311677,7256457,7484650,7311205,7392510,7340473,7448515,7783565,7411934,7573563,7138334,6959019,6810080,6717734,6625672,6638178,6307292,6161468,6139098,6233236,6259036,6205307
Say You Won't Let Go - James Arthur,16950854,18269129,19156532,19155590,19155402,19046600,18117341,16969619,16184356,15317193,14766457,13741599,12372656,11420115,10908794,9816226,9724686,9553294,9506164,8751794,7962195,7298194,7128128,6862793,6718348,6758235,6557775,6507266,6421264,6424831,6251604,6260548,6189063,6213887,6251554,6155337,6341123,6267482,6188131,6112247,6145962,6027733,6071895,6205445,6182481,6017726,6188580,6345829,6107685,5699452,6026012,6197578,6182669,6431122,6299889,6064304,6330660,6059767,6000282,5840231,5710718,5702477,5637991,5353989,5392581,5353772,5170697,5271469,5410406,5218321,5110959,5084429,5135156,5062607,4631579,4656295,4628741,4730928,4618131,4626561,4635296,4657837,4695114,4659233,4756669,4826193,4881499,4950638,5180826,5140168,5176708,5271336,5180042,5094342,5291713,5274861,5429272,5345670,5327206,5383654,5269077,0,5203101,5733167,5923703,5773405,5761460,5806276,5927586,5705275,5566768,5503167,5461125,5406974,5508121,5433886,5310487,5160557,5011902,5189914,5327753,5279634,5349646,5432735,5300529,5382501,5308399,5190713,5110822,5171852,5285052,5212868,5229413,5322598,5332558,5458017,5250528,5461083,5661801,5690286,5755283,5822409,5754509
Closer - The Chainsmokers,23519705,20618002,20211268,19330447,18613708,17769021,17001358,16280761,15728756,14259540,13765540,12542691,12021903,12206709,12108024,10508896,10023298,9523724,8509927,7786113,7599968,7108368,6961632,6873417,6944227,6662535,6463792,6341654,6198210,6033644,5925118,5823374,5731628,5558826,5405355,5373201,5324258,5208839,5144388,5094700,5046992,4858653,4780039,4751046,4763087,4601149,4806596,5151229,5065104,4878097,6656029,5126959,5045787,4994037,4918713,4797508,4753914,4950504,4762634,4741335,4707992,4675033,4800659,4572389,4581184,4707939,4821639,4673554,4672102,4552542,4501555,4570383,4490676,4424823,4484173,4669763,5134836,4956445,5013382,4791008,4824796,4874085,4911669,4817547,4872858,5063366,5117441,4980175,4826639,4805950,4932055,4993562,4870908,5139443,4962813,5069579,5140667,4949207,4989567,4926130,4809947,0,5270523,4990860,5074196,4895732,4806326,4808968,4808489,4783272,4724127,4662548,4706958,4734727,4767774,4786916,4763322,4767331,4598126,4642153,4655434,4563883,4701057,4748824,4751953,4745732,4727147,4776444,4714043,4627068,4639101,4578076,4645262,4646428,4587614,4570716,4574273,0,0,4440675,4442721,0,4469463
Believer - Imagine Dragons,0,0,0,0,0,5621695,8142179,13118274,15020341,14809718,15564811,14914376,14820972,14431303,13926068,12741448,12694592,12548349,10960453,11192991,10760441,10287248,12051906,16884406,15276562,14611718,13614930,12982488,13031147,12660398,11484160,10720579,10160868,9764448,9529493,9551326,9610180,9373108,9074783,8959451,8013269,7413820,7267577,7262037,7223070,6867872,7151470,7404449,7155945,6988038,7271716,7163730,7197913,7117875,7097834,6911102,6770886,6839256,6996677,6904023,6806572,6963780,7342155,6940201,6939242,6915021,6847685,6677471,6632029,6558783,6573588,6566793,6541528,6519303,6672446,6724043,6610941,6656767,6986327,6991212,6733160,6808793,6898788,6897053,6996246,7061811,7106615,6979257,6965530,6988382,7100688,7139243,7071777,7055807,7125821,7277686,7089239,6979718,7063445,7320974,7030524,6600010,6654712,6879520,7036580,6988224,6812257,6716562,6602906,6569273,6504119,6436333,6459257,6615819,6659263,6573681,6585082,6652108,6293849,6173838,6270519,6314617,6493873,6573344,7068310,7099606,6976266,6920006,6864630,6760772,6858622,6734668,6717874,6657483,6639078,6587265,6580082,6515881,6480432,6482046,6606821,6702342,6923952
Perfect - Ed Sheeran,0,0,0,0,0,0,0,0,0,24795623,19355268,14969127,13076319,11837690,10527997,8529483,7666447,6969418,6985558,6632862,6172179,5458562,5212200,5006798,4940446,5040122,5035055,4925615,4873091,4869597,5019158,4967375,5164082,5043152,5321020,6077323,11617349,15595734,18075233,19573203,20481784,20839614,21203902,23390491,23865911,24101578,21769985,19200067,19666188,18362884,18357808,18173539,17656931,17307923,16413723,15432225,14865786,14209752,13220175,12581210,11982557,11562407,11050264,10056946,9752255,9521312,8613859,8112638,7912452,7629055,7499375,7358808,7308170,7245369,6778070,6721630,6714434,6814340,6802264,6639831,6527338,6425554,6405064,6290225,6240699,6207365,6262274,6453595,7023800,7044264,6953190,6932981,6817532,6688615,6568609,6475608,6388735,6255970,6298450,6758519,6496075,6206692,6404521,6520151,6634648,6675074,6577273,6541288,7186979,6958583,6581444,6371826,6469724,6407416,6370396,6201555,6177749,6203921,5963995,6056567,6068726,6547146,6275791,6419852,6203175,6232573,6210111,6130561,6313148,6309106,6522359,6051817,5770294,5689106,5602415,5529479,5515421,5606477,5623727,5561256,5634448,5706489,5691983
Photograph - Ed Sheeran,4310532,8100952,6840950,6084830,6148137,6057146,6245784,5829079,5632486,6478067,5388745,4750606,4640457,4577198,4430746,4271096,4270050,4215706,4435128,4530944,4540335,4647249,4482862,4436640,4427017,4585992,4684176,4706816,4664832,4632477,4670086,4712707,4741391,4819058,4643948,4528536,4476545,4487029,4594188,4560981,4567716,4403078,4516498,4774963,4744761,4748743,5013658,5016009,5083240,4789562,4936598,5179910,5211141,5311147,5253280,5080376,5249144,4900951,4818146,4756222,4605461,4558626,4474056,4225507,4268055,4260851,4220790,4112732,4089546,0,3992856,0,4011674,4010948,0,0,0,0,0,3803660,3795835,3840956,3895912,3836821,3908591,3941309,3976592,4013314,4266136,4286096,4285776,4414243,4329842,4334798,4560586,4527240,4647678,4611530,4579319,0,0,0,4286566,4617075,4727915,4658924,4580073,4627402,4844475,4805585,4651251,4629830,4865319,4822616,4842435,4813662,4820801,4709004,4562700,4776307,4837575,5209737,5012776,5083343,4947668,5021070,5017218,4950556,4921289,4823590,4983567,4705075,4663696,4641231,4605599,4632058,4404628,0,0,4469954,4547977,4662267,4674563
Thunder - Imagine Dragons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6113081,8739631,12388320,16357231,16927789,17646683,21104495,20499097,19889917,19517546,18946641,18948794,18332145,17532061,17108973,16783183,16269574,15481695,15433257,15393124,15705780,15050217,15000222,13560890,12651182,12283875,12572320,12445120,12034384,11791181,11653879,11323288,10364281,11665009,11413447,11188503,10819637,10531035,10055804,9638607,9532196,9424699,9197764,8364604,8041425,8131928,7646251,7550118,7438309,7241185,6972866,6928467,6542477,6446924,6398237,6267814,6154204,6237008,6277573,6664099,6283897,6560522,6606463,6360616,6421612,6439774,6339784,6370429,6457098,6405308,6306088,6299343,6264804,6298593,6315224,6261489,6157961,6136652,6173307,5917206,5746689,5830363,6119853,5861458,5553182,5824786,6016230,6193070,6086453,6010275,5907202,5726395,5578282,5528185,5435789,5700376,5667946,5611225,5479526,5476575,5463008,5367013,5285545,5254031,5242750,5345112,5441083,5748808,5705431,5543706,5514007,5529752,5356715,5426228,5335805,5302737,5201761,5176402,5079254,5101617,4948148,4895860,4883785,4980307,5057290,5186597
Congratulations - Post Malone,0,0,0,2695783,4140168,5179379,7290317,9020037,9885283,9985597,10580662,9901027,10146954,10524801,10602295,10515847,10779414,9761987,11673246,13197332,12742578,15654840,14870584,14353397,14093043,13958428,13672036,13368017,13129524,11802066,11464656,11243011,11377865,10830374,10341113,10957495,11941761,12492607,12547174,12627527,12408720,11813305,11463713,11232843,11275536,11058366,10939950,10883007,10605665,9573559,10019761,10180401,10024863,9922909,9162721,8491759,7988374,7863361,8387830,8027960,7588879,7274768,7239525,6742471,6630676,6607776,6478842,6687551,5936735,5777015,5652955,5488135,5499042,5443451,5165254,5006052,4730698,4670513,4672318,4620506,4594987,4627410,4676419,4753566,4773508,4581029,4520542,4514139,4714479,4666537,4810062,5107269,5147117,5040063,4949581,4793690,4898113,4753331,4768048,4951397,4947764,0,4914505,5165824,5354529,5183853,5097324,5127342,5082146,5067933,5023156,5015253,5042376,5064841,5067033,5042969,5201363,4974268,4750182,4743249,4784613,4623713,4645072,4660098,4590154,0,0,0,0,4379716,0,0,0,0,4237345,4227296,0,4543995,0,0,0,0,0
I Like Me Better - Lauv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4897350,5845093,6254382,7270630,8923680,10902548,11435031,11170807,11488479,11430490,11786706,12434507,12611724,12704967,12692820,12309608,12294308,10602780,9975143,9912806,9935362,9370478,9211976,9110206,8872973,8580568,7524497,7220086,6634163,7238310,7405512,7354703,6971790,6771925,6564761,6367119,6303564,6004128,5972689,5823840,5682391,5524420,5132600,5170658,4958875,4835609,4652154,4638712,4539508,4484607,4424983,4711241,4659389,4466896,4501624,4478288,4412014,4541035,4410545,4351939,4201697,4210099,5472521,6280823,6052373,5889980,6028071,6196138,6207597,6061489,6171331,5792651,5583406,5605455,5625661,5462802,5213045,5324346,5655843,5629690,5228532,5654767,6258578,6496404,6445987,6614143,6639049,6409177,6337402,6343998,6357615,6474427,6411674,6379624,6195971,6130190,5972747,5894401,6111346,5984089,5777120,5917028,5985828,5853287,5789103,5720978,5641986,5445990,5343148,5535728,5304512,5200314,5332665,5191130,5186712,4945275,5413917,5549039,5514413,5617464,5576462,5441351
Thinking out Loud - Ed Sheeran,3883321,6084730,5285689,5032481,5198512,5176965,6174168,5418955,5135338,5955662,5032728,4510603,4382476,4319644,4088119,3886139,3854361,3743354,3925038,3930028,3987380,4140242,4020033,3938372,3881254,3961946,3945140,3935172,3933352,3894417,3900703,3911004,3993438,4090618,4084752,4130631,4337214,4337574,4357846,4378750,4485657,4322687,4411110,4556031,4490836,4427371,4674871,4522218,4597606,4400262,4551127,4821292,4895007,5087426,5027664,4856160,5425739,4925081,4857761,4821805,4757918,4758759,4629045,4382923,4423862,4328400,4263582,4160688,4169095,4117351,4184956,4189085,4191859,4205354,3991014,3936088,3984452,4019940,4026880,4092479,4082452,4104252,4098557,4058768,4113510,4163372,4133120,4178749,4392717,4373589,4446672,4652624,4601632,4527288,4607948,4625597,4628194,4578514,0,0,0,0,4419547,4733162,4936097,4837387,4734656,4717268,4941925,4921902,4689525,0,4448120,4439403,4484846,0,0,4419059,4291435,4392852,4371552,4647942,0,4533077,0,0,0,4358891,4496772,4338364,0,0,0,0,0,0,0,0,0,0,0,0,0
